author,party,date,text,topic_tags,sentiment_tags
אופיר אקוניס,הליכוד,"12 באוגוסט 2019, 04:51","['דרך ארץ קדמה ל ה תורה', 'מיותר ו מביך לצטט כאן מדברי שר ב ה ממשלה', 'ש נוהג ש לא ב ה כבוד ו לא ב דרך ארץ כלפי אני ראש ה ממשלה', 'יותר משההתבטאות של הוא הרתיחה', 'היא פשוט הביכה', 'את ה אומר', 'לא כל ש כן', 'ב ה מהלך תשעה ב ה אב', 'ה יום ה מסמל מ כל את שנאת ה חינם', 'את ה פילוג ו ה מפריד ב עמנו', 'ש הביא לפני קצת פחות מ 2000 שנה ל פיזורנו ל כל עבר', 'ה שר ה זה צריך להתנצל עוד היום ו גם לזכור ש ה אחריות על מערכת ה משפט הייתה נתונה בידי מ פלגתו', 'ו שרה מ רשימתו', 'ו כן', 'גם מסקנה פוליטית', 'אם אתם בטוחים ש אתם רוצים ממשלת ימין לאומית', 'אבל ממש בטוחים ו לא מהססים', 'תחזקו את ה ליכוד ב ה ראשות ב ה נימין נתניהו', 'פשוט לכו אל ה קלפי ו הצביעו מחל', 'שתפו ו הפי']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2]"
אביגדור ליברמן,ישראל ביתנו,"28 ביולי 2019, 19:04","['כתבתו של ירון אברהם היום ב ה מהדורה ה מרכזית מעידה ש אין גבול ל ה טירוף ש מאפשרת מ משלת נתניהו', 'מ חבלים טרוריסטים ש פגעו ו חלקם גם רצחו חיילים ו אזרחים ב מדינת ישראל', 'מקבלים בונוס ו הטבות מפליגות', 'אם לא די ב כך ש בני ה משפחות של אותם ה מחבלים מקבלים סכומי כסף מ ה רשות ה פלשתינית', 'ב ה מקום ל חוקק חוק עונש מוות ל ה מחבלים ו עד אז לתת ל הם להרקב ב ה כלא', 'מדינת ישראל נותנת ל ה הם מתקני כושר', 'עיתונים יומיים', 'ערכות פנאי ו ביקורים אחת ל ה שבועיים', 'ל ה כתבה ה מלאה על ה הטבות ה מפליגות ל ה אסירים ב ה יטחונ']","[2, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, 2, 2, 2, 2, 2, 2, 2, 2]"
משה יעלון,כחול לבן,"28 ביולי 2019, 17:59","['ה מפלגה ה יחידה ש יכולה להציג אלטרנטיבה ש ל ה טונית היא כחול לבן', 'למרות כל ה חיבורים ה אלה מ שמאל פרץ', 'מ רצ', 'ישראל דמוקרטית ה בחירות ה אלה תהיינה אך ו רק בין ממשלה ב ראשות בני גנץ ו כ ה חול ל ה בן לבין ממשלת חסינות של נתניהו', 'עם ישראל צריך הנהגה חדשה של אנשים ישרים', 'לפני ה חדש']","[0, 0, 0, 2, 0, 0]","[2, 2, 2, -1, 2, 2]"
מיכל רוזין,מרצ,"25 ביולי 2019, 07:19","['אני מברכת את יור מרצ ניצן הורוביץ על ה מהלך של הגדלת ה מחנה ה דמוקרטי ב הובלתה ה אידיאולוגית של מרצ ו ב ה התאחדות סביב היא', 'ה איחוד הוא צו ה שעה ב ה מציאות ה גזענית ו ה מפלגת של ה ממשלה ה ימנית של נתניהו', 'חייבים להמשיך לפעול ל ה איחוד כל ה גורמים מ שמאל לכחול לבן', 'ו ליצר רשימת שמאל גדולה ש אינה בורחת מ עמדותיה ו משמיעה קול ברור ב ה עד שלום', 'שוויון ו דמוקרט']","[0, 2, 0, 0, 0]","[2, -1, 2, 2, 2]"
משה יעלון,כחול לבן,"10 ביולי 2019, 07:13","['ה מדינה ב ה משבר מנהיגות', 'נתניהו בוחר ב גימיקים זולים ו משעבד גם את ה אינטרסים ה בטחוניים של מדינת ישראל רק ל צורך הישרדותו ה פוליטית', 'זה מה ש אמרתי ל רזי ברקאי בגלצ על ברית הגנה עם ארהב ה גימיק ה חדש ש מבשל נתניהו בשביל הישרדו']","[0, 2, 2]","[2, -1, -1]"
יואב קיש,הליכוד,"28 ביוני 2019, 13:36","['ה ביקור של גייסון גרינבלט', 'שליח ה ממשל ה אמריקאי ל ה מזרח ה תיכון', 'הוא עוד דוגמא ל ה קשר ה חזק בין ארהב ל ה ישראל', 'ה ידידות ו שיתוף ה פעולה ש מוביל ראש ה ממשלה נתניהו', 'מציבה את ישראל פעם אחר פעם ב צמרת ה מעצמות ה חזקות ב ה עולם', 'מאחל שבת שלום ל אזרחי ישר']","[0, 0, 1, 2, 2, 0]","[2, 2, 1, 1, 1, 2]"
איציק שמולי,העבודה,"25 ביוני 2019, 10:57","['ממשלת נתניהו נגד ה קשישים ב ה ישראל', 'קחו 3 דקות ו תצפו ב ה סרטון ה זה', 'אנשים מבוגרים', 'חלקם בני יותר מ 70', 'ש עבדו כל חייהם', 'לא מסוגלים להתקיים', 'ו ב ה דיוק ב את הוא היום', 'ה ממשלה מחליטה לפגוע ב רשת ה ביטחון ל ה קשישים', 'ה אנשים ש במו ידיהם בנו את ה מדינה ה זו ו הפכו את ישראל ל הצלחה כלכלית ענקית', 'לא יכולים לקנות צעצוע ל ה נכד', 'הגיע ה זמן לשנות את ה משוואה כש ה כלכלה מזנקת למעלה אסור להפקיר את הם מאחור', 'אני אמשיך להילחם עבור הם מ כל מקום כדי ש זה יקרה', 'גם כיור מפלגת ה עבודה', 'אני מבט']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
מירי רגב,הליכוד,"17 ביוני 2019, 06:22","['ה רדיפה אחר משפחת נתניהו נובעת מ מניע אחד בלבד להפיל את ה ימין', 'ל ה מה', 'כי ברור ש הפלת נתניהו תביא ל הפלת ה ימין', 'כל ה אמצעים כ ה שרים ל כך', 'אתמול הבינו כולם ש ה הר הוליד עכברון ב ה רכות ל אתה', 'שרה נתניהו', 'אלו חלק מ ה דברים ש אמרתי הבוקר ב ריאיון לאפי טריגר בגלצ', 'מוזמנים להאז']","[2, 0, 2, 2, 0, 0, 0, 0]","[1, 2, 1, 0, 2, 2, 2, 2]"
רועי פולקמן,כולנו,"14 ביוני 2019, 06:51","['ה מורכבויות ה פוליטיות ו למה לא ה כל סובב סביב נתניהו', 'ה סיבה ש לא הגעתי ל ה הצבעה ל פיזור ה כנסת ו גם על ה געגועים ל ה אמא', 'ה כל בראיון ל ה מקור ראש']","[2, 0, 0]","[0, 2, 2]"
מיקי לוי,כחול לבן,"10 ביוני 2019, 10:48","['דיכאון לפתוח את ה מוספים ה כלכליים ב ה ימים ה אלה', 'ה בור ה תקציבי רק מתנפח ו גדל', 'התחייבויות של ה ממשלה לא מתוקצבות ו ה ציבור שוב ו שוב מ שלם את מחיר ה הזנחה ו ה סחטנות ה קואליציוניים', 'נתניהו סירב להחזיר את ה מנדט ל ה נשיא ו כפה על ה מדינה ב חירות מיותרות ו יקרות ש את ה השלכות ה הרסניות של הן כולנו מתחילים לראות', 'ל אזרחי ישראל מגיעה ממשלה אחרת ש תעבוד ב שבילם ו לא בשביל עצמה', 'ככה זה לא יכול להמש']","[0, 0, 0, 2, 2, 0]","[2, 2, 2, -1, -1, 2]"
אופיר אקוניס,הליכוד,"3 ביוני 2019, 12:46","['ניצחון ענק ל ה קואליציה ש לנו ב בחירת מבקר ה מדינה', 'עכשיו ב מליאת הכנסת', 'ה ניצחון ה גדול ה זה רק מגביר את תחושת ה החמצה ש הקמת ממשלה לאומית', 'ב ה ראשות ב ה נימין נתניהו', 'הייתה ב הישג יד ו רק עקשנותו ה מיותרת של איווט ליברמן', 'מ נעה זאת', 'ו כ ה מובן', 'ב רכות ל מתניהו אנגלמן על הבחרו ל ה תפק']","[0, 0, 2, 2, 0, 0, 0, 0]","[2, 2, 0, 0, 2, 2, 2, 2]"
משה יעלון,כחול לבן,"30 במאי 2019, 08:29","['מדינת ישראל נמצאת ב ה סחרור', 'ברור ש ה כל נועד רק כדי לחלץ את נתניהו מ ספסל ה נאשמים בשל כך הולכים ל בחירות', 'במקום ש נתניהו יחזיר את ה מנדט ל ה נשיא כדי ש יטיל את מלאכת הרכבת ה ממשלה על בני גנץ או על מישהו אחר אפילו מ ה ליכוד', 'יש ב ה ליכוד אנשים ישרים ו טובים', 'אבל הם איבדו את ה אומץ ו עושים רק את ה חישוב ה פוליטי', 'האזינו ל ה ראיון של אני אצל דקלסגל ב כאן ב', 'עמית סגל ירון ד']","[0, 2, 2, 0, 0, 0, 0]","[2, -1, -1, 2, 2, 2, 2]"
מיקי לוי,כחול לבן,"29 במאי 2019, 21:16","['איוולת ש לא היתה כדוגמתה מ אז קום ה מדינה', 'במקום לאפשר ל אדם אחר להרכיב את ה ממשלה ו לתת ל ה מדינה להמשיך להתנהל ל טובת ה אזרחים', 'נתניהו שם את טובתו ה אישית לפני טובת ה מדינה ו החליט לגרור את כל ה מדינה ל מערבולת ב ה חירות ש תעלה מיליארדי שקלים', 'ב ה מקום לסגור את ה גירעון ה תקציבי ו להפנות כספים ל שיפור מערכת ה בריאות', 'מבזבזים כסף על בחירות מיותרות', 'זו פשיטת רגל מוסרית ו פוליטית', 'ופארסה ש הגיע ה זמן לשים ל היא סוף ב ה קל']","[0, 0, 2, 0, 0, 0, 0]","[2, 2, -1, 2, 2, 2, 2]"
משה יעלון,כחול לבן,"23 במאי 2019, 17:03","['ראש ממשלה עם שלושה כתבי אישום חייב להתייצב בפני בית משפט ו לתת את ה דין על מעשיו', 'כך היה פה עד ה יום ו רק כך לא נהפוך ל ה דמוקטטורת שחיתות של נתניהו', 'פה זה לא טורקיה', 'ב ה ישראל יש ראש ממשלה ו לא סולטן', 'בישראל אף אדם הוא לא מעל ה חוק', 'ב ה מקום לנהל מומ קואליציוני על תקציבי בתי ה חולים ה קורסים ו על עתיד מע ה חינוך', 'רהמ מתעסק ב ה דבר אחד הימלטות מ אימת ה דין', 'ו אתם אזרחי ישראל', 'כל מי ש ה מקום ה זה יקר ל הוא צריכים להגיע ל רחבת מוזיאון תא ב ה מוצש ב 20', '30 כדי לעמוד כ חומה ש תעצור את ה טירוף']","[2, 2, 0, 2, 2, 0, 2, 0, 0, 0]","[-1, -1, 2, -1, -1, 2, -1, 2, 2, 2]"
משה יעלון,כחול לבן,"13 במאי 2019, 17:48","['נתניהו מוביל את ה מדינה ל משבר ש אנשים עדיין לא מבינים את ה מחיר של הוא', 'ה כל מכוון כדי להציל את עורו של רהמ מושחת ו להעלות את הוא מעל שלטון ה חוק', 'אנחנו לא מתכוונים לוותר ל הוא', 'נשמיע את קולנו', 'נגיש הצעות חוק ל הגבלת קדנציה ל ראש ממשלה', 'נקדם את חוק ה קלון', 'נקרא ל הקמת וועדת חקירה ממלכתית', 'אנחנו נמשיך לתת גיבוי מלא ל ה יועמש ל ה ממשלה', 'ב ה זמן ש עורכי דינו של נתניהו מבזים את ה מוסד ה חשוב ה זה ו ה עומד ב ראשו', 'כולי תקווה ש בעקבות ה התנהלות ה זו מ נדלבליט יזרוק את נתניהו מ כל ה מדרגות', 'ו רק שאלה קטנה נותרת איפה כל אלו ב ה ליכוד ש דיברו כל ה שנים ב שם שלטון ה חוק', 'אודי סגל ה חדש']","[2, 2, 2, 0, 2, 0, 0, 0, 2, 2, 0, 0]","[-1, -1, -1, 2, -1, 2, 2, 2, -1, -1, 2, 2]"
עפר שלח,כחול לבן,"13 במאי 2019, 10:41","['ה שבועות ה קרובים יגידו', 'האם נתניהו יעמוד ב מילתו', 'או ש הוא גם שק']","[0, 2, 2]","[2, 0, -1]"
עפר שלח,כחול לבן,"11 במאי 2019, 14:01","['נתניהו מציג ל אנחנו את תוצאות ה בחירות כ אישור ש קיבל מ ה עם לשבור את כל ה כלים', 'אין צעד פסול ב עיניו ב ניסיון של הוא לחמוק מ העמדה ודאית ל ה דין', 'אנו נילחם ב כך ב כל ה כלים ה פרלמנטריים', 'אבל לא רק ב ה הם', 'זה יהיה מאבק משולב של ה כנסת ו של ה רחוב', 'ו יגיע גם ל בתי ה מש']","[2, 2, 0, 0, 0, 0]","[-1, -1, 2, 2, 2, 2]"
אלעזר שטרן,כחול לבן,"29 באפריל 2019, 12:56","['ראש ה ממשלה ו שר ה אוצר נפגשו אתמול לדון ב איומי ה קריסה של ה רשות ה פלסטינית נוכח קיזוז כספי ה טרור', 'דווקא כיוון ש ידעתי ש ל ראש ה ממשלה בנימין נתניהו יש היסטוריה מתמשכת של כניעה ל ה טרור', 'יזמנו את ה קיזוז כ ה חוק ו לא רק כ החלטת ממש']","[2, 2, 0]","[0, -1, 2]"
מירי רגב,הליכוד,"31 במרץ 2019, 19:43","['הפעם אני נאלצת להסכים את אתה ו לא רק אני גם רבים מ ה ציבור', 'סיכמת בעבור אנחנו את מה ש אנחנו אומרים כבר חודשים', 'אי אפשר לסמוך על אתם', 'מדינת ישראל יכולה לסמוך רק על ה ליכוד רק על נתני']","[0, 0, 0, 2]","[2, 2, 2, 1]"
נפתלי בנט,הימין החדש,"30 במרץ 2019, 19:26","['נתניהו מינה ל שרי ביטחון את אהוד ב רק', 'את בוגי ו את ליברמן', 'ו הם לא סיפקו סחורה', 'את ה תוצאות אנחנו רואים היום', 'רק ימין חדש חזק ימנע מ בני גנץ ל היות שר ה ביטחון של נתני']","[2, 0, 0, 0, 2]","[0, 2, 2, 2, 0]"
יאיר לפיד,כחול לבן,"29 במרץ 2019, 19:31","['נתניהו יורד ל ה ביבים הכי נמוכים מ סיבה אחת', 'הוא מפס']","[2, 2]","[-1, -1]"
גלעד ארדן,הליכוד,"29 במרץ 2019, 11:39","['ה עם עם ה ליכוד', 'הבוקר באשדוד יחד עם עשרות פעילים', 'פוגשים את ה ציבור ו שומעים על ה תמיכה ה אדירה ב ה ליכוד ו ב ראש ה ממשלה בנימין נתניהו ב דרך לניצחון ה ליכוד']","[2, 0, 2]","[1, 2, 1]"
יואב בן צור,"ש""ס","19 במרץ 2019, 20:48","['ממשלת גנץ לפיד היא לא אופציה מ בחינתנו ו לא אופציה בכלל', 'עם ה זמן ה ציבור מגלה את ה פנים ה אמתיות של מפלגת כחול לבן', 'מדובר ב ה מפלגה ה סובלת מ מחסור חמור ב ה אידאולוגיה ו קובץ של הבטחות סרק', 'ה מבקשת לערער את ה צביון ה יהודי של מדינת ישראל', 'לא יעזרו חנופות ו קריצות', 'נמליץ ל ה נשיא רק על ראש ה ממשלה ב ה נימין נתניהו']","[0, 0, 0, 0, 0, 2]","[2, 2, 2, 2, 2, 1]"
משה יעלון,כחול לבן,"19 במרץ 2019, 08:50","['כ חול לבן לא תשב עם נתניהו', 'ב ה אנו לנצח את הוא ו לא להנציח את שלטונו']","[2, 2]","[-1, -1]"
יאיר לפיד,כחול לבן,"19 במרץ 2019, 08:29","['ב מערכת ה בטחון ו ב צהל התנגדו ל מכירת ה צוללות ל ה מצרים בשל סיכונים ל ה בטחון ישראל', 'נתניהו פגע ב קודש ה קודשים של בטחון ישראל בשביל בצע כסף']","[2, 2]","[0, -1]"
משה יעלון,כחול לבן,"19 במרץ 2019, 08:25","['מערכת ה ביטחון ב הודעה דרמטית', 'נתניהו פגע ב ביטחון ה מדינה']","[0, 2]","[2, -1]"
יואל רזבוזוב,כחול לבן,"18 במרץ 2019, 09:28","['נתניהו הרוויח מ מכירת ה צוללות 16 מיליון', 'אנו נעצור את ה שחיתות']","[2, 2]","[0, -1]"
יאיר לפיד,כחול לבן,"18 במרץ 2019, 06:20","['זה לא ש מפני היא ו לא סיגרים', '16 מיליון שקל קיבל נתניהו על חלקו ב פרשת ה צוללות']","[2, 2]","[0, 0]"
מרב מיכאלי,העבודה,"17 במרץ 2019, 09:54","['אירוע חמור ו קשה מ אוד ה בוקר ב ה אריאל', 'ה מציאות ה בלתי נסבלת תחת שלטון ה ימין של פיגוע רודף פיגוע חייבת להסתיים', 'נתניהו לא מביא ב ה טחון', 'תנחומים ל משפחת ה הרוג ו איחולי החלמה ל ה פצועים ש נאבקים על חייהם']","[0, 2, 2, 0]","[2, -1, -1, 2]"
גילה גמליאל,הליכוד,"17 במרץ 2019, 08:42","['לפיד ו גנץ תמכו ב הסכם ה גרעין ה מסוכן עם איראן', 'לפיד ו גנץ שמאל', 'ב 94 מצביעים ליכוד ב ה ראשות נתניהו ימין']","[0, 0, 2]","[2, 2, 1]"
אופיר אקוניס,הליכוד,"17 במרץ 2019, 05:32","['יכול להיות ש יריבינו ה פוליטיים קצת ב ה לחץ', 'כך זה נראה ב ה ימים ה אחרונים', 'ב 94 נעשה ב ה דיוק את מה ש עשינו היום לפני ארבע שנים', 'נלך אל ה קלפיות', 'נצביע ב ה אחריות ו ב ה קור רוח', 'נבטיח את עתידה של ישראל ב הצבעה ברורה', 'חדה ו עוצמתית', 'מחל ה ליכוד תנועת ה ליכוד', 'ב ה ראשות ב ה נימין נתניהו']","[0, 0, 0, 0, 0, 2, 2, 2, 2]","[2, 2, 2, 2, 2, 1, 1, 1, 1]"
עפר שלח,כחול לבן,"16 במרץ 2019, 17:00","['נתניהו ש נכשל ב ה דרום', 'ו ש נגד הוא עומד כתב אישום חמור על שוחד', 'לא ראוי להנהיג את ה מדינה', 'אפשר אחרת']","[2, 2, 2, 0]","[-1, -1, -1, 2]"
קארין אלהרר,כחול לבן,"16 במרץ 2019, 16:49","['חלאס ל ה שלטון נתניהו', 'אנחנו נמשיך מ כאן', 'ב 9', '19 בוחרים רק כחול לבן']","[2, 0, 0, 0]","[-1, 2, 2, 2]"
יאיר לפיד,כחול לבן,"16 במרץ 2019, 08:44","['אם לא אכפת ל אתם מכתבי ה אישום של נתניהו', 'לא אכפת ל אתם מ ה כיס של אתם', 'איך זה קשור', 'מפני ש אם חס ו חלילה נתניהו יקים את ה ממשלה ה באה', 'הוא יצטרך לשלם ל ה שותפים יותר', 'הרבה הרבה יותר', 'כתבי ה אישום הופכים את הוא ל ה פגיע', 'הוא מוכרח לוודא ש ה שותפים יאפשרו ל הוא לחמוק מ ה משפט', 'הם יעשו את זה ב ה שמחה', 'שר ה חינוך ה מיועד', 'כבר הודיע ש הוא ייזום חוק חסינות מורחב כדי להגן על ראש ה ממשלה', 'יהדות ה תורה הודיעה ש תתמוך ב ה חוק צרפתי מורחב', 'כדי ש נתניהו לא יצטרך לעמוד ל ה משפט', 'אתם באמת חושבים ש כל ה טוב ה זה נופל על נתניהו ב חינם', 'מתי אי פעם ה חברה ה אלה עשו משהו ב חינם', 'ב ה ממשלה ה נוכחית עלו ה הסכמים ה פוליטיים יותר מ 10 מיליארד שקל', 'כ ה סף ש נלקח ישירות מ ה כיס ש ל אתם ו הועבר ל עמותות פוליטיות', 'ל מקורבים פוליטיים', 'ל ה מפלגות ו אפילו ישירות ל ה פוליטיקאים', 'זה היה ב קואליציה רחבה יחסית', 'ו לנתניהו לא היה כתב אישום', 'אם ל ה אלוביץ הוא היה מוכן לשלם מיליארד שקל בשביל כמה כותרות חיוביות', 'לפי כתב ה אישום', 'אתם מדמיינים כמה הוא יהיה מוכן לשלם ב ה שביל להינצל מ ה כלא', '20 מיליארד', 'מ איפה אתם חושבים ש ה כסף ה זה יגיע', 'יוקר ה מחיה הוא ה בעיה מס 1 של אזרחי ישראל', 'כל ה יום מספרים ל הם ש ה כלכלה ה ישראלית חזקה ו אז הם נכנסים ל ה סופר ו ה משכורת הולכת', 'יקר פה כל כך מפני ש ה כסף הולך ל ה מקומות ה לא נכונים', 'ב ה מקום ל חדרי מיון ו ל הורדת מחירים', 'הוא הולך ל מטרות פוליטיות', 'זה מה ש קורה כש ה פוליטיקאים עסוקים רק ב ה עצמם', 'ב ה מקום לעבוד בשביל אתם', 'זה מה ש קורה כש ראש ה ממשלה מכהן יותר מדי שנים ב ה תפקיד ו כבר לא אכפת ל הוא מ אף אחד חוץ מ עצמו', 'את זה אנחנו נחושים לשנות', 'את יוקר ה מחיה ב ישראל אפשר להוריד', 'ו אנחנו יודעים איך להוריד את הוא', 'רוב מכריע של ה ישראלים לא רוצים ראש ממשלה עם כתבי אישום חמורים כל כך', 'לא מ סיבות כלכליות', 'אלא מ סיבות ערכיות', 'הם אנשים הגונים', 'ו הם רוצים ראש מ משל היא ה גון', 'הם צריכים לדעת גם ש אם הם יבחרו ב הוא', 'יוקר ה מחיה ימשיך לעלות עוד ו עוד ו עוד']","[2, 2, 0, 2, 2, 0, 2, 2, 0, 0, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 2, 2, 2]","[-1, -1, 2, -1, -1, 2, -1, -1, 2, 2, -1, 2, -1, -1, 2, 2, 2, 2, 2, 2, -1, -1, 2, -1, 2, 2, 2, 2, 2, 2, 2, 2, 2, -1, 2, 2, 2, -1, 2, 2, 2, -1, 0, -1]"
משה יעלון,כחול לבן,"14 במרץ 2019, 13:04","['זה לא פשוט', 'יש מאחורי ה מערכת ה משומנת של נתניהו הרבה כסף ו הרבה שקרים', 'אבל אנחנו החלטנו ש אנחנו לא משקרים', 'אני מצפה מ ה ציבור', 'למרות ה מגבלות הללו להבין ש ה בחירות ה אלה הן על גורלה של ה מדינה', 'עוד מדבריי ל ה טל של הוא', 'ב אירוע ה מכינות ה קדם צבאיות ב אוניברסיטת תל אביב ה בוקר']","[0, 2, 0, 0, 0, 0, 0]","[2, -1, 2, 2, 2, 2, 2]"
איציק שמולי,העבודה,"13 במרץ 2019, 16:54","['ה דוח ש פרסם הערב מבקר ה מדינה על ה כישלון ה מחפיר ב ה תחבורה ה ציבורית הוא הוכחה נוספת ל ה הזנחה ה פושעת של ממשלת נתניהו ל בעיות ה אזרחים כאן', 'מדובר ב כישלון טוטאלי ו מתמשך ו מי ש משלם את ה מחיר ה כבד הם אזרחי ישראל ש לא זוכים ל תחבורה ציבורית נורמלית ו ב מקומה נאלצים לעמוד שעות ב ה פקקים', 'אילו רק תשומת ה לב ו ה השקעה של ה ממשלה ה זו ב ה תחבורה ה ציבורית היו כמו אלו ש מושקעות ב בניית ה מטוס של נתניהו היינו כבר ב מקום אחר', 'שם אין עיכובים ו אין דחיות', 'עשר שנים ש ה ליכוד ב ה שלטון ו ה תחבורה ה ציבורית נראית כמו תאונת שרשרת מתגלגלת', 'מערכת ה בריאות קורסת ו שיעורי ה עוני הם ה גבוהים ב ה מערב', 'פשוט כישלון חרוץ ש הגיע הזמן לשים ל הוא סוף']","[2, 2, 2, 0, 2, 2, 2]","[-1, -1, -1, 2, -1, -1, -1]"
אופיר אקוניס,הליכוד,"13 במרץ 2019, 13:58","['ה שמאל ב ישראל אומר', 'אנחנו לא ישנים ב ה לילות', 'אנחנו מבוהלים', 'פוחדים מ ממשלה ש אינה נרתעת מ שימוש ב כל אמצעי כדי להשאר ב ה שלטון', 'אתם חושבים ו מרגישים ש זה ממש מ ה יום', 'אז זהו ש לא', 'זוהי תעמולה של ה שמאל מ בחירות 1981 ו ראש ה ממשלה היה אהובם ה גדול מ נחם בגין', 'שאליו הם מתגעגעים', 'אותן שיטות', 'אותן אמירות', 'כמו אז', 'לא ניתן ל הם ו נצביע ב 94', 'רק מחל ה ליכוד ב ה ראשות ב ה נימין נתניהו']","[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2]","[2, 2, 2, -1, 2, 2, 2, 2, 2, 2, 2, 2, 1]"
בנימין נתניהו,הליכוד,"12 במרץ 2019, 17:25","['ראש ה ממשלה בנימין נתניהו עונה ל ה שאלות של אתם', 'שידור חי']","[2, 0]","[0, 2]"
מרב מיכאלי,העבודה,"11 במרץ 2019, 11:26","['רותם ה יקרה', 'את צדקת ו צודקת', 'נתניהו מסית נגד ערבים ו שמאלנים מ יום ש הגיע ל ה פוליטיקה', 'הסתה ש הביאה ל רצח ראש ה ממשלה ה דגול ש ל אנחנו', 'יצחק רבין', 'תודה ל אתה על ה דברים ה אמיצים ש כל אזרחית ו אזרח ב ישראל חייבים לקרוא את הם', 'מפלגת ה עבודה', 'שרבין היה ראש ה ממשלה מטעם היא', 'היא ה אלטרנטיבה ש תעשה את מדינת ישראל חזקה כי מדינת ישראל ש לנו תהיה מדינה עם שוויון ש תחתור ל ה שלום']","[0, 0, 2, 2, 0, 0, 0, 0, 0]","[2, 2, -1, -1, 2, 2, 2, 2, 2]"
ישראל כץ,הליכוד,"11 במרץ 2019, 09:01","['לשבת ב ה מרכז בגין ב ה ירושלים', 'ב ישיבת סיעת ה ליכוד ב ראשות רהמ ב נימין נתניהו', 'ב יום ה שנה ל פטירתו של מנחם בגין', 'בהחלט מרגש', 'בגין היה מנהיג גדול ש יצר שיוויון ו חוזק כלפי פנים ו עוצמה ו הרתעה כלפי חוץ', 'הכל מתוך גאווה יהודית גדולה ו שימור ה מורשת ה הסטורית של ה עם ה יהודי', 'אני ו חברי גאים מאוד להמשיך ב דרכו']","[0, 2, 0, 0, 0, 0, 0]","[2, 0, 2, 2, 2, 2, 2]"
אופיר אקוניס,הליכוד,"10 במרץ 2019, 18:13","['ש איש מ מצביעי ה מחנה ה לאומי', 'לא יתפוס את ה ראש ב 104 ו יגיד', 'לא ידענו', 'לא חשבנו', 'לא תיארנו ש כך יהיה', 'נכון ל היום', 'ארץ ישראל ב סכנה אמיתית של חלוקה', 'נסיגות ו עקירות', 'משום ש ל ראשונה מ 1992 יש סיכוי סביר מאוד ש תוקם ממשלת שמאל', 'ב תמיכת ה סיעות ה ערביות', 'אז לכו להצביע', 'ה ליכוד ב ראשות בנימין נתניהו כדי ש לא תתחרטו ב ה יום ש אחרי']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1]"
מיקי לוי,כחול לבן,"10 במרץ 2019, 08:10","['ב ה רוכים ה באים ל ה מציאות', 'נתניהו ו כחלון חילקו ב ה קדנציה ה זו מעל 10 מיליארד שח מ תקציב ה מדינה ל מפלגות ה קואליציה', 'אז מה ה פלא ש שוב נוצר בור תקציבי עצום', 'הנה לפני אתם רשימה חלקית', '3 מיליארד שח תוספת ל ה תקציב ה ישיבות', '2 מיליארד שח תוספת ל מעיין ה חינוך ה תורני של שס', 'מיליארד שח ל מימון חוק נהרי כדי להבטיח ש ילדים חרדים לא ילמדו לימודי מתמטיקה ו אנגלית', '670 מיליון שח ל סמוטריץ', 'גפני ומיקי זוהר כדי ש יצביעו עם ה קואליציה', '420 מיליון שח הבטחת הכנסה ל ה אברכים', 'ככה לא מנהלים מדינה', 'הגיע ה זמן ל הנהגה אחראית ש תפסיק לחלק כסף ציבורי ל כל מי ש לוחץ', 'אנחנו כבר הוכחנו התנהלות אחרת', 'סגרנו את ה בור ה תקציבי ו השארנו אחרי אנחנו עודף תקציבי ל ה ממשלה ה באה', 'יותם פישביין', 'ידיעות אחרונות']","[0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]","[2, -1, -1, 2, 2, 2, 2, 2, 2, 2, 2, -1, 2, 2, 2, 2]"
משה יעלון,כחול לבן,"9 במרץ 2019, 18:38","['ב שבת תרבות ב ראשון ל ה ציון נשאלתי בנוגע ל ה תכנית ה מאה של טראמפ', 'ו כך השבתי', 'אנחנו נגיד כן ל כל הזמנה לשבת סביב ה שולחן', 'אבל נעמוד על ה אינטרסים ש ל אנחנו', 'מדי פעם עולות יוזמות', 'ה אחרונה ש ב הן היתה של גון קרי ו מי ש נשכב אז על ה גדר כדי ש לא נפנה את בקעת ה ירדן זה אני', 'לא ביבי נתניהו']","[1, 0, 0, 0, 0, 0, 2]","[0, 2, 2, 2, 2, 2, -1]"
